LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
1601,17/06/09,20:11:09,INFO,executor.Executor,Finished task 32.0 in stage 27.0 (TID 1272). 2801 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
1602,17/06/09,20:11:09,INFO,executor.Executor,Finished task 33.0 in stage 27.0 (TID 1273). 2592 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
1603,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 1275,E11,Got assigned task <*>
1604,17/06/09,20:11:09,INFO,executor.Executor,Running task 35.0 in stage 27.0 (TID 1275),E24,Running task <*> in stage <*> (TID <*>)
1605,17/06/09,20:11:09,INFO,executor.Executor,Finished task 30.0 in stage 27.0 (TID 1270). 2859 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
1606,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 1276,E11,Got assigned task <*>
1607,17/06/09,20:11:09,INFO,executor.Executor,Running task 36.0 in stage 27.0 (TID 1276),E24,Running task <*> in stage <*> (TID <*>)
1608,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 1277,E11,Got assigned task <*>
1609,17/06/09,20:11:09,INFO,executor.Executor,Running task 37.0 in stage 27.0 (TID 1277),E24,Running task <*> in stage <*> (TID <*>)
1610,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 1278,E11,Got assigned task <*>
1611,17/06/09,20:11:09,INFO,executor.Executor,Running task 38.0 in stage 27.0 (TID 1278),E24,Running task <*> in stage <*> (TID <*>)
1612,17/06/09,20:11:09,INFO,storage.BlockManager,Found block rdd_42_35 locally,E10,Found block rdd_<*> locally
1613,17/06/09,20:11:09,INFO,storage.BlockManager,Found block rdd_42_37 locally,E10,Found block rdd_<*> locally
1614,17/06/09,20:11:09,INFO,storage.BlockManager,Found block rdd_42_38 locally,E10,Found block rdd_<*> locally
1615,17/06/09,20:11:09,INFO,storage.BlockManager,Found block rdd_42_36 locally,E10,Found block rdd_<*> locally
1616,17/06/09,20:11:09,INFO,python.PythonRunner,"Times: total = 41, boot = 11, init = 29, finish = 1",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
1617,17/06/09,20:11:09,INFO,executor.Executor,Finished task 34.0 in stage 27.0 (TID 1274). 2128 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
1618,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 1279,E11,Got assigned task <*>
